RecordType,Origin,Month,CarrierName,Count,Cancellations,CarrierDelayMins,WeatherDelayMins,NasDelayMins,SecurityDelayMins,LateAircraftDelayMins
Totals,ATL,8,American Airlines,990
Totals,SFO,8,Hawaiian Airlines,62
Delays,SFO,8,Hawaiian Airlines,5.0,0.0,1051.0,8.0,0.0,0.0,0.0
Totals,SFO,8,SkyWest Airlines,3142
Delays,SFO,8,SkyWest Airlines,709.0,53.0,12510.0,153.0,3047.0,240.0,20163.0
Totals,SFO,8,United Airlines,4632
Delays,SFO,8,United Airlines,1085.0,34.0,19045.0,105.0,8096.0,0.0,21154.0
Totals,SFO,8,Virgin America,1671
Delays,SFO,8,Virgin America,342.0,6.0,3725.0,311.0,6150.0,73.0,7092.0
Totals,SFO,8,Southwest Airlines,1350
Delays,SFO,8,Southwest Airlines,283.0,45.0,2764.0,135.0,2945.0,0.0,8002.0
